"Trade Date","ADVISOR / CLIENT","RR #","Symbol","B/S","Shares","Price","Commission","Comm./Shr. ($)"
"09/26/2013","1798 CAP/LOMBARD ASSET      ","040","WLH","B","5,000","20.95","250.00","0.050"
"09/12/2013","A. R. SCHMEIDLER & CO.","031","SPR","B","24,000","23.82","1,350.00","0.058"
"07/10/2013","A. R. SCHMEIDLER & CO.","031","WOOF","B","18,000","27.65","1,010.00","0.058"
"03/28/2013","AAD CAPITAL             ","084","FIVE","SS","10,000","37.70","300.00","0.030"
"04/17/2013","AAD CAPITAL             ","084","JCP","B","13,000","14.73","390.00","0.030"
"10/23/2013","ACK ASSET               ","028","ABG","SS","38,000","49.79","1,140.00","0.030"
"10/30/2013","ACK ASSET               ","028","ABG","SS","38,000","46.85","1,140.00","0.030"
"09/06/2013","ACK ASSET               ","028","BKD","B","237,820","25.27","7,134.60","0.030"
"11/26/2013","ACK ASSET               ","028","BRP","B","38,208","21.33","1,146.24","0.030"
"11/27/2013","ACK ASSET               ","028","BRP","B","119,404","21.53","3,582.12","0.030"
"03/15/2013","ACK ASSET               ","028","CSX","B","140,000","24.07","4,200.00","0.030"
"06/06/2013","ACK ASSET               ","028","CSX","B","130,000","24.48","3,900.00","0.030"
"07/09/2013","ACK ASSET               ","028","CSX","B","110,000","24.05","3,300.00","0.030"
"05/07/2013","ACK ASSET               ","028","CSX","SS","130,000","25.28","3,900.00","0.030"
"07/02/2013","ACK ASSET               ","028","CSX","SS","150,000","23.02","4,500.00","0.030"
"07/03/2013","ACK ASSET               ","028","CSX","SS","100,000","22.98","3,000.00","0.030"
"10/03/2013","ACK ASSET               ","028","CSX","SS","100,000","25.67","3,000.00","0.030"
"04/22/2013","ACK ASSET               ","028","DAL","B","200,000","15.41","6,000.00","0.030"
"01/11/2013","ACK ASSET               ","028","DAN","S","611,000","15.49","18,330.00","0.030"
"06/13/2013","ACK ASSET               ","028","FDX","B","14,000","98.45","420.00","0.030"
"05/28/2013","ACK ASSET               ","028","FDX","SS","36,000","97.39","1,080.00","0.030"
"08/01/2013","ACK ASSET               ","028","FLOW","B","20,000","3.88","600.00","0.030"
"08/01/2013","ACK ASSET               ","028","FLOW","S","20,000","3.88","600.00","0.030"
"09/26/2013","ACK ASSET               ","028","FLOW","S","300,000","3.98","6,000.00","0.020"
"10/25/2013","ACK ASSET               ","028","LAD","SS","60,000","63.87","1,800.00","0.030"
"10/30/2013","ACK ASSET               ","028","LAD","SS","30,000","62.35","900.00","0.030"
"01/25/2013","ACK ASSET               ","028","MLI","B","180,000","52.51","5,400.00","0.030"
"02/08/2013","ACK ASSET               ","028","MLI","B","20,000","54.87","600.00","0.030"
"03/05/2013","ACK ASSET               ","028","MLI","B","50,000","54.55","1,500.00","0.030"
"05/08/2013","ACK ASSET               ","028","MLI","B","17,800","53.44","534.00","0.030"
"03/19/2013","ACK ASSET               ","028","RTK","S","200,000","2.43","6,000.00","0.030"
"09/13/2013","ACK ASSET               ","028","RUE","SS","100,000","40.67","3,000.00","0.030"
"09/06/2013","ACK ASSET               ","028","SAEX","S","258,288","9.92","7,748.64","0.030"
"10/09/2013","ACK ASSET               ","028","SFXE","S","6,000","12.41","180.00","0.030"
"05/24/2013","ACK ASSET               ","028","SKH","B","50,000","6.93","1,500.00","0.030"
"02/01/2013","ACK ASSET               ","028","ST","S","24,000","34.22","720.00","0.030"
"05/17/2013","ACK ASSET               ","028","TCP","S","10,000","44.30","300.00","0.030"
"05/28/2013","ACK ASSET               ","028","UMH","S","9,420","11.00","282.60","0.030"
"02/26/2013","ACK ASSET               ","028","XHB","SS","200,000","27.34","6,000.00","0.030"
"05/06/2013","ADAGE CAPITAL MGMT      ","030","AEO","B","150,000","19.05","4,500.00","0.030"
"05/10/2013","ADAGE CAPITAL MGMT      ","030","AEO","B","30,700","19.55","921.00","0.030"
"05/22/2013","ADAGE CAPITAL MGMT      ","030","AEO","B","220,000","20.70","6,600.00","0.030"
"04/30/2013","ADAGE CAPITAL MGMT      ","030","AEO","SS","50,000","19.21","1,500.00","0.030"
"02/19/2013","ADAGE CAPITAL MGMT      ","030","ANF","B","142,200","50.88","4,266.00","0.030"
"02/20/2013","ADAGE CAPITAL MGMT      ","030","ANF","B","100,000","51.73","3,000.00","0.030"
"05/13/2013","ADAGE CAPITAL MGMT      ","030","ANF","B","50,000","53.55","1,500.00","0.030"
"05/14/2013","ADAGE CAPITAL MGMT      ","030","ANF","B","70,715","53.24","2,121.45","0.030"
"09/12/2013","ADAGE CAPITAL MGMT      ","030","AOL","B","60,000","34.48","1,800.00","0.030"
"04/17/2013","ADAGE CAPITAL MGMT      ","030","ARO","SS","6,900","13.02","207.00","0.030"
"05/16/2013","ADAGE CAPITAL MGMT      ","030","ASNA","B","44,265","19.99","1,327.95","0.030"
"08/27/2013","ADAGE CAPITAL MGMT      ","030","AVP","B","125,000","19.84","3,750.00","0.030"
"05/24/2013","ADAGE CAPITAL MGMT      ","030","BKE","B","58,658","54.00","1,759.74","0.030"
"02/13/2013","ADAGE CAPITAL MGMT      ","030","COH","B","200,000","49.12","6,000.00","0.030"
"03/07/2013","ADAGE CAPITAL MGMT      ","030","COH","S","120,000","49.09","3,600.00","0.030"
"03/27/2013","ADAGE CAPITAL MGMT      ","030","CRI","SS","49,374","56.73","1,481.22","0.030"
"03/28/2013","ADAGE CAPITAL MGMT      ","030","CRI","SS","35,726","56.83","1,071.78","0.030"
"05/14/2013","ADAGE CAPITAL MGMT      ","030","DG","B","62,210","52.97","1,866.30","0.030"
"10/09/2013","ADAGE CAPITAL MGMT      ","030","DRC","B","1,200","60.15","36.00","0.030"
"10/10/2013","ADAGE CAPITAL MGMT      ","030","DRC","B","15,000","60.33","450.00","0.030"
"10/14/2013","ADAGE CAPITAL MGMT      ","030","DRC","B","496","61.80","14.88","0.030"
"05/15/2013","ADAGE CAPITAL MGMT      ","030","ETN","S","15,000","65.62","450.00","0.030"
"04/10/2013","ADAGE CAPITAL MGMT      ","030","FDO","S","137,066","59.00","4,111.98","0.030"
"03/05/2013","ADAGE CAPITAL MGMT      ","030","FNP","B","25,300","18.00","759.00","0.030"
"10/09/2013","ADAGE CAPITAL MGMT      ","030","FNP","B","6,810","25.03","204.30","0.030"
"05/24/2013","ADAGE CAPITAL MGMT      ","030","GME","B","200,000","35.17","6,000.00","0.030"
"11/05/2013","ADAGE CAPITAL MGMT      ","030","GPS","B","18,759","37.38","562.77","0.030"
"09/18/2013","ADAGE CAPITAL MGMT      ","030","HSP","B","17,060","40.14","511.80","0.030"
"01/07/2013","ADAGE CAPITAL MGMT      ","030","JCI","B","8,117","31.49","243.51","0.030"
"07/01/2013","ADAGE CAPITAL MGMT      ","030","JCP","S","205,514","16.71","6,165.42","0.030"
